[2025-05-29 09:14:03,972][asyncio][DEBUG] - Using selector: EpollSelector
[2025-05-29 09:14:04,605][omni.kit.telemetry.impl.sentry_extension][INFO] - sentry is disabled for external build
[2025-05-29 09:14:04,606][omni.kit.telemetry.impl.sentry_extension][INFO] - sentry is disabled for external build
[2025-05-29 09:14:05,611][AutoNode][DEBUG] - Defining data type 'any' as 'Any'
[2025-05-29 09:14:05,611][AutoNode][DEBUG] - Defining data type 'bool' as 'Bool' and array 'BoolArray
[2025-05-29 09:14:05,611][AutoNode][DEBUG] - Defining data type 'bundle' as 'Bundle'
[2025-05-29 09:14:05,611][AutoNode][DEBUG] - Defining data type 'colord[3]' as 'Color3d' and array 'Color3dArray
[2025-05-29 09:14:05,611][AutoNode][DEBUG] - Defining data type 'colorf[3]' as 'Color3f' and array 'Color3fArray
[2025-05-29 09:14:05,611][AutoNode][DEBUG] - Defining data type 'colorh[3]' as 'Color3h' and array 'Color3hArray
[2025-05-29 09:14:05,611][AutoNode][DEBUG] - Defining data type 'colord[4]' as 'Color4d' and array 'Color4dArray
[2025-05-29 09:14:05,612][AutoNode][DEBUG] - Defining data type 'colorf[4]' as 'Color4f' and array 'Color4fArray
[2025-05-29 09:14:05,612][AutoNode][DEBUG] - Defining data type 'colorh[4]' as 'Color4h' and array 'Color4hArray
[2025-05-29 09:14:05,612][AutoNode][DEBUG] - Defining data type 'double' as 'Double' and array 'DoubleArray
[2025-05-29 09:14:05,612][AutoNode][DEBUG] - Defining data type 'double[2]' as 'Double2' and array 'Double2Array
[2025-05-29 09:14:05,612][AutoNode][DEBUG] - Defining data type 'double[3]' as 'Double3' and array 'Double3Array
[2025-05-29 09:14:05,612][AutoNode][DEBUG] - Defining data type 'double[4]' as 'Double4' and array 'Double4Array
[2025-05-29 09:14:05,612][AutoNode][DEBUG] - Defining data type 'execution' as 'Execution'
[2025-05-29 09:14:05,612][AutoNode][DEBUG] - Defining data type 'float' as 'Float' and array 'FloatArray
[2025-05-29 09:14:05,612][AutoNode][DEBUG] - Defining data type 'float[2]' as 'Float2' and array 'Float2Array
[2025-05-29 09:14:05,612][AutoNode][DEBUG] - Defining data type 'float[3]' as 'Float3' and array 'Float3Array
